"ID","Year","Age","AgeGroup","Weight","RTL","qPCRPlate","qPCRRow","Fecundity","Twinning","LambSex","LambSurvival","ReproIndex","ReproStatus"
3279,2002,7,3,24.7,1.34636892995319,49,"D",1,0,2,1,3,"3"
3279,2003,8,3,24.7,2.14443156525436,91,"E",1,0,2,1,3,"3"
3279,2004,9,3,22.6,1.90500650166327,39,"A",1,0,1,1,3,"3"
3280,1998,3,2,24.9,1.62570338736414,55,"B",0,0,4,0,1,"1"
3280,1999,4,2,27,1.57071446112603,73,"A",0,0,4,0,1,"1"
3280,2000,5,2,29.7,1.73965367754613,22,"G",0,0,4,0,1,"1"
3280,2001,6,2,30.6,1.45294086496958,16,"H",0,0,4,0,1,"1"
3280,2002,7,3,27.2,2.09720456352286,95,"H",0,0,4,0,1,"1"
3280,2003,8,3,28.4,1.55313379039294,68,"C",1,0,1,0,2,"2"
3280,2004,9,3,27.5,2.1160790665813,87,"G",1,0,1,0,2,"2"
3280,2005,10,3,26.05,1.68166859431216,32,"D",0,0,4,0,1,"1"
3280,2006,11,3,25.7,1.80015545434354,76,"E",1,0,4,0,2,"2"
3280,2007,12,3,23.7,2.05665762483049,20,"D",0,0,4,0,1,"1"
3282,1998,3,2,20.8,1.64398330255412,88,"E",1,0,2,1,3,"3"
3282,2001,6,2,22.4,1.79928851304439,11,"G",1,0,2,1,3,"3"
3289,1998,3,2,18.7,1.72500983574325,48,"B",1,0,2,1,3,"3"
3289,2002,7,3,21.2,1.85565964928156,55,"F",1,0,2,1,3,"3"
3289,2004,9,3,20.8,1.64049345866677,27,"H",1,0,2,1,3,"3"
3291,1998,3,2,23.9,2.22191197624907,55,"F",1,0,2,1,3,"3"
3291,1999,4,2,26.7,2.01219077913636,61,"H",1,0,1,1,3,"3"
3291,2000,5,2,26.2,1.87094950537194,24,"C",1,1,3,1,6,"3"
3291,2001,6,2,24.8,2.4918229347666,5,"B",1,0,2,1,3,"3"
3291,2002,7,3,26.800001,2.10871768062954,42,"H",1,0,1,1,3,"3"
3291,2003,8,3,25.95,2.40930967028031,76,"G",1,1,3,1,6,"3"
3291,2004,9,3,24.35,1.86483452749572,34,"H",1,1,2,1,6,"3"
3300,1998,3,2,19.6,1.53956937942856,58,"E",1,0,2,1,3,"3"
3300,1999,4,2,21.6,2.08230064572838,92,"A",1,0,1,1,3,"3"
3300,2000,5,2,22,1.76415530109138,81,"B",1,0,1,1,3,"3"
3303,1998,3,2,19.6,1.96582721904418,47,"C",1,0,1,1,3,"3"
3303,1999,4,2,21.3,1.95198741610891,61,"A",1,0,1,1,3,"3"
3303,2000,5,2,23.4,1.96696673523937,28,"A",1,0,1,1,3,"3"
3303,2001,6,2,23.4,1.91911190089492,3,"B",1,0,1,1,3,"3"
3303,2002,7,3,22.2,2.06008623232068,87,"D",1,0,2,1,3,"3"
3303,2003,8,3,22.6,2.25950551450134,91,"D",1,0,2,1,3,"3"
3303,2004,9,3,20.75,1.83317357538684,87,"G",1,0,2,1,3,"3"
3307,1998,3,2,19.2,1.92991150772539,42,"D",1,0,1,1,3,"3"
3307,1999,4,2,21.5,1.74555497454353,67,"F",1,0,2,1,3,"3"
3307,2000,5,2,23.6,1.74189816963213,33,"F",1,0,2,1,3,"3"
3316,1999,4,2,23.7,1.6779221770285,73,"A",1,0,1,1,3,"3"
3316,2000,5,2,23.4,1.78370380115349,31,"B",1,0,2,1,3,"3"
3316,2001,6,2,20.9,1.66014784685176,1,"F",1,1,2,1,6,"3"
3326,2000,5,2,25,2.1300045910495,36,"D",1,0,2,1,3,"3"
3326,2001,6,2,23.6,1.5924424188195,93,"G",1,0,2,1,3,"3"
3326,2002,7,3,24.400002,1.79747575564246,91,"F",1,0,2,1,3,"3"
3326,2005,10,3,23.6,1.60466201710814,39,"B",1,0,1,1,3,"3"
3326,2006,11,3,22.45,1.6609040656108,93,"A",1,0,1,1,3,"3"
3328,1999,4,2,22.6,1.62660638817761,70,"A",1,0,2,1,3,"3"
3328,2000,5,2,22.2,1.54990876269432,21,"E",1,0,2,1,3,"3"
3330,1999,4,2,25.1,1.68660661238025,67,"G",1,1,3,1,5,"3"
3330,2001,6,2,22.5,1.85558595149189,19,"D",1,1,3,1,6,"3"
3414,1998,2,2,18.6,2.00105372188842,50,"H",0,0,4,0,1,"1"
3414,1999,3,2,20.4,1.96458177321667,61,"F",1,0,2,1,3,"3"
3414,2001,5,2,18.4,2.44851693610647,20,"D",1,0,1,1,3,"3"
3420,1999,3,2,22.7,1.98922698028708,67,"A",1,0,1,1,3,"3"
3420,2003,7,3,25.4,2.22672064462312,75,"A",1,0,2,1,3,"3"
3420,2004,8,3,24.75,2.2291141179675,31,"E",0,0,4,0,1,"1"
3420,2005,9,3,24.25,2.4124382712766,32,"D",1,0,1,1,3,"3"
3420,2006,10,3,23.95,2.05675248185398,64,"B",1,0,2,0,2,"2"
3420,2008,12,3,22.5,1.52781190035291,31,"G",1,0,2,0,2,"2"
3428,2002,6,2,23,1.49789367966893,51,"H",1,0,2,1,3,"3"
3428,2003,7,3,24,2.02871086508869,63,"A",1,0,1,1,3,"3"
3431,2002,6,2,26.400002,1.76459863026681,55,"E",1,0,1,0,2,"2"
3431,2007,11,3,27.5,1.28399066283981,5,"C",0,0,4,0,1,"1"
3440,1999,3,2,24.8,1.45931331478327,78,"F",1,0,1,1,3,"3"
3440,2000,4,2,24.6,1.31292827777981,36,"H",1,0,2,1,3,"3"
3443,1999,3,2,23.4,2.03599087092906,79,"A",1,0,1,1,3,"3"
3443,2001,5,2,25.3,1.45780972803367,19,"G",1,0,2,1,3,"3"
3445,1999,3,2,22.4,1.97670463477871,77,"D",1,0,2,1,3,"3"
3445,2002,6,2,22.6,1.78722478181415,45,"D",1,0,2,1,3,"3"
3468,1999,3,2,22.7,1.64507612266349,80,"C",1,0,1,1,3,"3"
3469,1998,2,2,19.4,1.91675779085398,59,"B",1,0,2,0,2,"2"
3469,1999,3,2,22.9,1.86485193857726,76,"E",1,0,1,1,3,"3"
3469,2000,4,2,24.8,1.62232780250126,39,"D",1,0,2,1,3,"3"
3471,1998,2,2,21.5,1.89826025814305,57,"G",1,0,1,0,2,"2"
3471,1999,3,2,24.6,1.39955872040391,71,"G",1,0,2,1,3,"3"
